"year","experiment","model","Longitude","Latitude","tmax35","tmax37"
2000,"historical","EC-Earth3-CC",16.171875,-15.08769,13,0
2000,"historical","EC-Earth3-CC",16.171875,-14.38594,0,0
2000,"historical","EC-Earth3-CC",16.875,-34.73677,0,0
2000,"historical","EC-Earth3-CC",16.875,-34.03502,0,0
2000,"historical","EC-Earth3-CC",16.875,-33.33326,0,0
2000,"historical","EC-Earth3-CC",16.875,-32.63151,0,0
2000,"historical","EC-Earth3-CC",16.875,-31.92976,0,0
2000,"historical","EC-Earth3-CC",16.875,-31.228,0,0
2000,"historical","EC-Earth3-CC",16.875,-30.52625,0,0
2000,"historical","EC-Earth3-CC",16.875,-29.8245,0,0
2000,"historical","EC-Earth3-CC",16.875,-29.12275,0,0
2000,"historical","EC-Earth3-CC",16.875,-28.42099,42,15
2000,"historical","EC-Earth3-CC",16.875,-27.71924,77,43
2000,"historical","EC-Earth3-CC",16.875,-27.01749,79,28
2000,"historical","EC-Earth3-CC",16.875,-26.31573,63,20
2000,"historical","EC-Earth3-CC",16.875,-25.61398,49,5
2000,"historical","EC-Earth3-CC",16.875,-24.91223,38,3
2000,"historical","EC-Earth3-CC",16.875,-24.21048,31,3
2000,"historical","EC-Earth3-CC",16.875,-23.50872,13,1
2000,"historical","EC-Earth3-CC",16.875,-22.80697,5,0
2000,"historical","EC-Earth3-CC",16.875,-22.10522,7,0
2000,"historical","EC-Earth3-CC",16.875,-21.40347,11,0
2000,"historical","EC-Earth3-CC",16.875,-20.70171,13,0
2000,"historical","EC-Earth3-CC",16.875,-19.99996,14,2
2000,"historical","EC-Earth3-CC",16.875,-19.29821,37,10
2000,"historical","EC-Earth3-CC",16.875,-18.59645,47,20
2000,"historical","EC-Earth3-CC",16.875,-17.8947,43,22
2000,"historical","EC-Earth3-CC",16.875,-17.19295,38,16
2000,"historical","EC-Earth3-CC",16.875,-16.4912,24,9
2000,"historical","EC-Earth3-CC",16.875,-15.78944,26,3
2000,"historical","EC-Earth3-CC",16.875,-15.08769,15,0
2000,"historical","EC-Earth3-CC",16.875,-14.38594,0,0
2000,"historical","EC-Earth3-CC",17.578125,-34.73677,0,0
2000,"historical","EC-Earth3-CC",17.578125,-34.03502,0,0
2000,"historical","EC-Earth3-CC",17.578125,-33.33326,0,0
2000,"historical","EC-Earth3-CC",17.578125,-32.63151,0,0
2000,"historical","EC-Earth3-CC",17.578125,-31.92976,0,0
2000,"historical","EC-Earth3-CC",17.578125,-31.228,0,0
2000,"historical","EC-Earth3-CC",17.578125,-30.52625,0,0
2000,"historical","EC-Earth3-CC",17.578125,-29.8245,29,4
2000,"historical","EC-Earth3-CC",17.578125,-29.12275,68,30
2000,"historical","EC-Earth3-CC",17.578125,-28.42099,79,50
2000,"historical","EC-Earth3-CC",17.578125,-27.71924,81,41
2000,"historical","EC-Earth3-CC",17.578125,-27.01749,84,36
2000,"historical","EC-Earth3-CC",17.578125,-26.31573,90,37
2000,"historical","EC-Earth3-CC",17.578125,-25.61398,78,26
2000,"historical","EC-Earth3-CC",17.578125,-24.91223,77,20
